Region,Hour of year,Cumulative contrail warming
European Airspace,0.0,0.1194
European Airspace,1.1228,8.6791
European Airspace,2.2456,15.5094
European Airspace,3.3684,21.1875
European Airspace,4.4913,26.1236
European Airspace,5.6141,30.5666
European Airspace,6.7369,34.6534
European Airspace,7.8597,38.4211
European Airspace,8.9825,41.8926
European Airspace,10.1053,45.1325
European Airspace,11.2282,48.1684
European Airspace,12.351,51.0568
European Airspace,13.4738,53.8095
European Airspace,14.5966,56.4302
European Airspace,15.7194,58.9074
European Airspace,16.8538,61.2672
European Airspace,17.9766,63.4773
European Airspace,19.0994,65.5969
European Airspace,20.2222,67.618
European Airspace,21.3451,69.5377
European Airspace,22.4679,71.3759
European Airspace,23.5907,73.1495
European Airspace,24.7135,74.8382
European Airspace,25.8363,76.4517
European Airspace,26.9591,77.9964
European Airspace,28.082,79.4715
European Airspace,29.2048,80.8825
European Airspace,30.3276,82.2267
European Airspace,31.4504,83.5151
European Airspace,32.5732,84.7477
European Airspace,33.7076,85.9471
European Airspace,34.8304,87.0845
European Airspace,35.9532,88.1774
European Airspace,37.0761,89.2252
European Airspace,38.1989,90.2322
European Airspace,39.3217,91.1974
European Airspace,40.4445,92.1325
European Airspace,41.5673,93.0338
European Airspace,42.6901,93.9024
European Airspace,43.8129,94.7347
European Airspace,44.9358,95.5327
European Airspace,46.0586,96.3005
European Airspace,47.1814,97.037
European Airspace,48.3042,97.7403
European Airspace,49.427,98.4161
European Airspace,50.5614,99.0662
European Airspace,51.6842,99.6842
European Airspace,52.807,100.2726
European Airspace,53.9299,100.8358
European Airspace,55.0527,101.3739
European Airspace,56.1755,101.8825
European Airspace,57.2983,102.3671
European Airspace,58.4211,102.8304
European Airspace,59.5439,103.2695
European Airspace,60.6667,103.6827
European Airspace,61.7896,104.0746
European Airspace,62.9124,104.4432
European Airspace,64.0352,104.7866
European Airspace,65.158,105.108
European Airspace,66.2808,105.4044
European Airspace,67.4152,105.6779
European Airspace,68.538,105.9245
European Airspace,69.6608,106.1473
European Airspace,70.7837,106.347
European Airspace,71.9065,106.5229
European Airspace,73.0293,106.6748
European Airspace,74.1521,106.8057
European Airspace,75.2749,106.9161
European Airspace,76.3977,107.0075
European Airspace,77.5205,107.0774
European Airspace,78.6434,107.127
European Airspace,79.7662,107.1573
European Airspace,80.889,107.1669
European Airspace,82.0118,107.1533
European Airspace,83.1346,107.1137
European Airspace,84.269,107.0433
European Airspace,85.3918,106.943
European Airspace,86.5146,106.8138
European Airspace,87.6375,106.6452
European Airspace,88.7603,106.4372
European Airspace,89.8831,106.1888
European Airspace,91.0059,105.893
European Airspace,92.1287,105.5367
European Airspace,93.2515,105.1217
European Airspace,94.3743,104.6452
European Airspace,95.4972,104.0886
European Airspace,96.62,103.4351
European Airspace,97.7428,102.646
European Airspace,98.8656,101.629
European Airspace,100.0,100.0
North Atlantic,0.0,0.1554
North Atlantic,1.1228,7.8555
North Atlantic,2.2456,13.3123
North Atlantic,3.3684,17.9654
North Atlantic,4.4913,22.1451
North Atlantic,5.6141,25.9722
North Atlantic,6.7369,29.5047
North Atlantic,7.8597,32.8325
North Atlantic,8.9825,35.9802
North Atlantic,10.1053,38.946
North Atlantic,11.2282,41.7578
North Atlantic,12.351,44.4407
North Atlantic,13.4738,46.9869
North Atlantic,14.5966,49.4209
North Atlantic,15.7194,51.7644
North Atlantic,16.8538,54.0423
North Atlantic,17.9766,56.2128
North Atlantic,19.0994,58.2958
North Atlantic,20.2222,60.2964
North Atlantic,21.3451,62.2124
North Atlantic,22.4679,64.0519
North Atlantic,23.5907,65.8265
North Atlantic,24.7135,67.5322
North Atlantic,25.8363,69.1729
North Atlantic,26.9591,70.758
North Atlantic,28.082,72.2806
North Atlantic,29.2048,73.7473
North Atlantic,30.3276,75.1613
North Atlantic,31.4504,76.5241
North Atlantic,32.5732,77.8424
North Atlantic,33.7076,79.129
North Atlantic,34.8304,80.3595
North Atlantic,35.9532,81.5443
North Atlantic,37.0761,82.6891
North Atlantic,38.1989,83.7915
North Atlantic,39.3217,84.8554
North Atlantic,40.4445,85.8871
North Atlantic,41.5673,86.8866
North Atlantic,42.6901,87.8524
North Atlantic,43.8129,88.7822
North Atlantic,44.9358,89.6742
North Atlantic,46.0586,90.5307
North Atlantic,47.1814,91.3578
North Atlantic,48.3042,92.1549
North Atlantic,49.427,92.924
North Atlantic,50.5614,93.6646
North Atlantic,51.6842,94.3699
North Atlantic,52.807,95.0455
North Atlantic,53.9299,95.6913
North Atlantic,55.0527,96.3094
North Atlantic,56.1755,96.9
North Atlantic,57.2983,97.4587
North Atlantic,58.4211,97.9931
North Atlantic,59.5439,98.5062
North Atlantic,60.6667,98.9947
North Atlantic,61.7896,99.4575
North Atlantic,62.9124,99.8977
North Atlantic,64.0352,100.3182
North Atlantic,65.158,100.7185
North Atlantic,66.2808,101.0989
North Atlantic,67.4152,101.4604
North Atlantic,68.538,101.7972
North Atlantic,69.6608,102.1097
North Atlantic,70.7837,102.3999
North Atlantic,71.9065,102.6703
North Atlantic,73.0293,102.923
North Atlantic,74.1521,103.1554
North Atlantic,75.2749,103.3657
North Atlantic,76.3977,103.5586
North Atlantic,77.5205,103.7318
North Atlantic,78.6434,103.8869
North Atlantic,79.7662,104.0231
North Atlantic,80.889,104.1397
North Atlantic,82.0118,104.2386
North Atlantic,83.1346,104.3169
North Atlantic,84.269,104.3778
North Atlantic,85.3918,104.422
North Atlantic,86.5146,104.4481
North Atlantic,87.6375,104.4531
North Atlantic,88.7603,104.4337
North Atlantic,89.8831,104.3841
North Atlantic,91.0059,104.3011
North Atlantic,92.1287,104.1827
North Atlantic,93.2515,104.0247
