region,hour,total_flight_dist,contrail_ef_initial_loc,contrail_ef_overlap_initial_loc,new_contrail_length,total_contrail_length,tau_contrail_area,mean_contrail_age,contrail_ef,contrail_ef_sw,contrail_ef_lw,contrail_ef_overlap,contrail_ef_sw_overlap,contrail_ef_lw_overlap,Eurocontrol FIR,type
Novosibirsk FIR,99360,188923990000.0,1.1801587e+19,1.1904245674266399e+19,32877170000.0,159176790000.0,141086900000000.0,31650940.171134043,1.2094243e+19,-1.2704159e+19,2.4800989e+19,1.2066975623221084e+19,-1.1684766e+19,2.3756328e+19,False,FIR
Nur-Sultan FIR,99360,69882570000.0,3.9722705e+18,3.934096572006597e+18,9813663000.0,69315560000.0,63342786000000.0,16591732.79173354,6.39116e+18,-5.2034223e+18,1.1569114e+19,6.313265318784979e+18,-4.9829647e+18,1.1271561e+19,False,FIR
Nuuk FIR,99354,143864220000.0,3.815931e+18,3.7708217801900626e+18,11107782000.0,52884947000.0,54454133000000.0,13313402.274521383,4.651895e+18,-2.9753554e+18,7.6224815e+18,4.5921997483980733e+18,-2.9195544e+18,7.5072823e+18,False,FIR
Oakland FIR,99360,576130100000.0,2.9436408e+18,2.685519826822757e+18,24049644000.0,47980683000.0,36778490000000.0,3890247.805275038,1.4747101e+18,-4.862362e+18,6.3571283e+18,1.3628036040226941e+18,-4.665628e+18,6.046964e+18,False,FIR
Oakland Oceanic FIR,99360,1133382600000.0,1.9767708e+19,1.950989843660784e+19,89476645000.0,294214270000.0,255478180000000.0,42609041.62754553,1.8611972e+19,-2.297306e+19,4.163208e+19,1.8383367017619507e+19,-2.2739475e+19,4.1169467e+19,False,FIR
Oceanica Mazatlan FIR,57751,2258616300.0,1.2606628e+16,1.2430033863237748e+16,94976520.0,386165600.0,337811100000.0,78147.2997643298,1.7277392e+16,-4.736075e+16,6.457254e+16,1.7080123030639102e+16,-4.734154e+16,6.435603e+16,False,FIR
Odessa FIR,99360,23722340000.0,8.827833e+17,8.666788653324886e+17,2179151400.0,13554763000.0,13329580000000.0,2421667.350265998,1.3421596e+18,-1.4660157e+18,2.805183e+18,1.3110576449669586e+18,-1.3156002e+18,2.6239818e+18,True,FIR
Osh FIR,97048,4766075400.0,1.105353e+17,1.0986400216872424e+17,477490850.0,1805913300.0,1633826100000.0,315791.7187080107,1.3248669e+17,-8.69057e+16,2.1901559e+17,1.3119166756261146e+17,-8.588588e+16,2.1671457e+17,False,FIR
Panama FIR,99360,109901430000.0,9.921052e+17,9.771705426358538e+17,4657588000.0,19713196000.0,20283800000000.0,3387735.2472526915,9.7361054e+17,-1.5865499e+18,2.5634597e+18,9.589418096679794e+17,-1.5810485e+18,2.5432633e+18,False,FIR
Paramaribo FIR,97376,9311242000.0,1.659478e+17,1.6500134742203546e+17,386748260.0,1307142400.0,1428606800000.0,226987.932875972,1.8622851e+17,-9.310492e+16,2.7945588e+17,1.8512608243152986e+17,-9.269447e+16,2.7794108e+17,False,FIR
Paris FIR,99360,547882040000.0,1.0843671e+19,8.862418459454853e+18,43200230000.0,127998610000.0,124504710000000.0,9492346.015934173,8.593815e+18,-1.4769659e+19,2.3407417e+19,7.027535899099468e+18,-1.2472522e+19,1.9537018e+19,True,FIR
Petropavlovsk-Kamchatsky FIR,99346,82684540000.0,1.7739086e+18,1.7507862091232732e+18,7157825000.0,28671482000.0,29526766000000.0,5652328.207568443,1.8552567e+18,-2.441781e+18,4.2965954e+18,1.8330692255346455e+18,-2.4105844e+18,4.2432515e+18,False,FIR
Phnom Penh FIR,99360,64555180000.0,3.4826306e+17,3.44080058817728e+17,995197440.0,5266630700.0,5489307400000.0,1062811.9595666179,4.1962057e+17,-3.7811573e+17,7.975434e+17,4.140663783099064e+17,-3.762948e+17,7.902058e+17,False,FIR
Piarco FIR,99360,73999204000.0,1.0649389e+18,1.0561744301568004e+18,2226364200.0,10125635000.0,10463803000000.0,1942572.876491685,1.1412232e+18,-1.0768578e+18,2.219203e+18,1.13163931730034e+18,-1.0722708e+18,2.2050248e+18,False,FIR
Polaris FIR,99350,153401030000.0,1.9854321e+18,1.945552553440677e+18,9195450000.0,33383188000.0,32505510000000.0,7124594.266180599,1.9135032e+18,-2.564702e+18,4.4766047e+18,1.8759067071650716e+18,-2.4859493e+18,4.3605922e+18,True,FIR
Port Moresby FIR,98586,23807773000.0,4.85711e+17,4.833955629855296e+17,3473102300.0,10369262000.0,9656588000000.0,1488842.174677516,4.3934523e+17,-6.166461e+17,1.0586668e+18,4.372813718812826e+17,-6.163048e+17,1.05623244e+18,False,FIR
Port-Au-Prince FIR,96450,8336639500.0,3.559565e+16,3.5092094628509564e+16,224791140.0,853691900.0,676925150000.0,166797.06420920516,3.8678977e+16,-9.890353e+16,1.3746887e+17,3.8125670493069064e+16,-9.851147e+16,1.36523825e+17,False,FIR
Praha FIR,99360,197805650000.0,5.5197716e+18,4.87194231790012e+18,19758200000.0,72314440000.0,73922544000000.0,6228779.576578658,6.229757e+18,-7.3539664e+18,1.3581061e+19,5.277646860912195e+18,-5.936086e+18,1.1217156e+19,True,FIR
Puerto Montt FIR,97076,15745390000.0,1.3017829e+17,1.2822726228767011e+17,1118999000.0,1455623800.0,1111800200000.0,110810.8964834656,6.359799e+16,-1.2671074e+17,1.9134787e+17,6.295997627363068e+16,-1.2650272e+17,1.9048579e+17,False,FIR
Punta Arenas FIR,91970,5171277300.0,1.04399144e+17,1.0355312318015179e+17,494384060.0,1285564400.0,1387328300000.0,235501.79902910054,9.9405815e+16,-9.086721e+16,1.9034792e+17,9.876003672246042e+16,-9.0628534e+16,1.8946247e+17,False,FIR
Pyongyang FIR,98991,23217166000.0,7.3693925e+16,7.320752739684792e+16,917691970.0,12550978000.0,14860566000000.0,1993796.857453068,6.28464e+17,-1.3949585e+18,2.0202872e+18,5.99063732841357e+17,-1.3335337e+18,1.9302156e+18,False,FIR
Recife FIR,99360,267173130000.0,2.510257e+18,2.4862602552454487e+18,7487469000.0,25513183000.0,23381469000000.0,3640009.1423291625,2.5175658e+18,-1.931892e+18,4.455819e+18,2.4924603874276557e+18,-1.9129108e+18,4.4117327e+18,False,FIR
Reims FIR,99353,116592810000.0,2.1753486e+18,1.873645177357398e+18,10427660000.0,42467353000.0,44216990000000.0,3583878.702693327,3.0814822e+18,-4.7263524e+18,7.801874e+18,2.634133453341115e+18,-3.8568276e+18,6.489093e+18,True,FIR
Resistencia FIR,99355,19766022000.0,2.0919143e+17,2.0764507541438848e+17,826218200.0,2087380700.0,1618928100000.0,241020.02403045414,1.7293574e+17,-1.2821202e+17,3.0132814e+17,1.7174032333712512e+17,-1.2768367e+17,2.995966e+17,False,FIR
Reykjavik FIR,99357,172744300000.0,4.850968e+18,4.765021027480325e+18,14218648000.0,82774650000.0,89271264000000.0,18634339.39550162,6.11844e+18,-5.9932224e+18,1.2099802e+19,5.965585117945525e+18,-5.797069e+18,1.1752031e+19,True,FIR
Riga FIR,99360,62748144000.0,3.097268e+18,2.9160102238449597e+18,6289903000.0,28566786000.0,29269118000000.0,4942656.044113983,2.8564182e+18,-1.9430017e+18,4.808504e+18,2.6389491692546396e+18,-1.7802808e+18,4.428416e+18,True,FIR
Roberts FIR,95326,6910017000.0,1.7777674e+17,1.7711655698062896e+17,516611620.0,1963864800.0,2182758400000.0,363101.6616271008,1.8267905e+17,-1.3375034e+17,3.1687423e+17,1.8199614857770378e+17,-1.3364658e+17,3.1608496e+17,False,FIR
Roma FIR,99359,345726650000.0,2.3240988e+18,2.1583769535595948e+18,14716599000.0,41916707000.0,35574707000000.0,4350431.264530311,2.3218107e+18,-4.576791e+18,6.9066763e+18,2.1649317278939653e+18,-4.2619223e+18,6.434655e+18,True,FIR
Rostov-Na-Donu FIR,99360,285142020000.0,1.2830648e+19,1.2318251803916952e+19,29464537000.0,140553520000.0,136462580000000.0,20500614.29033192,1.2668934e+19,-1.3112624e+19,2.5789105e+19,1.2108441149327653e+19,-1.2006303e+19,2.4124501e+19,False,FIR
Sal Oceanic FIR,99319,49640540000.0,9.3943696e+17,9.319110790211026e+17,2066785300.0,6308714500.0,5984876000000.0,744728.071923558,8.801159e+17,-5.4437202e+17,1.4263643e+18,8.730567856150604e+17,-5.4092124e+17,1.4158365e+18,False,FIR
Salt Lake City FIR,99360,743684200000.0,1.3661938e+19,1.2698624572249266e+19,68133376000.0,210840680000.0,211974690000000.0,22742691.800391357,1.3900333e+19,-2.1020905e+19,3.497549e+19,1.2896596883632314e+19,-1.997007e+19,3.2921153e+19,False,FIR
Samara FIR,99360,190405890000.0,1.3232857e+19,1.2802342065221825e+19,26483014000.0,163035050000.0,157559900000000.0,30204381.829951562,1.7602272e+19,-1.0542512e+19,2.8110301e+19,1.6723469547727909e+19,-9.598413e+18,2.6293525e+19,False,FIR
Samarkand FIR,99178,18139386000.0,3.533662e+17,3.495924691721648e+17,1092987900.0,2936049000.0,2550953700000.0,409214.74861624435,1.857297e+17,-2.0565482e+17,3.935175e+17,1.8389463083202675e+17,-2.0273137e+17,3.8872598e+17,False,FIR
San Juan Oceanic FIR/UIR,99360,96216510000.0,7.070212e+17,6.981880826746765e+17,2448063500.0,8696127000.0,7534203000000.0,1266601.2202672935,7.1794364e+17,-9.181635e+17,1.6385365e+18,7.083346641167916e+17,-9.109338e+17,1.6216867e+18,False,FIR
Sanaa FIR,99348,40233090000.0,3.9966554e+17,3.972837552902202e+17,909604000.0,3429542400.0,2915138300000.0,586078.2456181513,4.3597804e+17,-3.1013577e+17,7.460486e+17,4.334440900975306e+17,-3.0823857e+17,7.416152e+17,False,FIR
Sankt-Peterburg FIR,99360,106903450000.0,6.2626725e+18,6.030174424533988e+18,11345660000.0,62826672000.0,64702260000000.0,13651890.025436692,6.508707e+18,-2.9985078e+18,9.502937e+18,6.173820210702378e+18,-2.7822416e+18,8.9540895e+18,False,FIR
Santa Maria FIR,99360,273347200000.0,8.5956823e+18,8.462673988254287e+18,38014444000.0,133309284000.0,112537130000000.0,21046773.87599858,9.19452e+18,-1.4961669e+19,2.4143437e+19,9.067622760150257e+18,-1.4675897e+19,2.3731375e+19,True,FIR
Santiago FIR,99360,74742010000.0,1.3913651e+17,1.3765604022040989e+17,2119822600.0,2014540200.0,1140692700000.0,115507.92856681578,8.398092e+16,-1.1757535e+17,2.0386444e+17,8.346652607852514e+16,-1.17425815e+17,2.0317769e+17,False,FIR
Santo Domingo FIR,99360,38563664000.0,8.87656e+16,8.744621958506155e+16,493422750.0,2226356500.0,1897598000000.0,417755.0554577383,1.028431e+17,-2.8371752e+17,3.8658097e+17,1.0109266827986062e+17,-2.8206188e+17,3.831861e+17,False,FIR
Sanya FIR,99360,195826680000.0,9.828488e+17,9.220781194887508e+17,4189437400.0,18929267000.0,19469310000000.0,2406494.0482021617,1.004385e+18,-1.9054633e+18,2.910882e+18,9.456919361822469e+17,-1.867162e+18,2.8138748e+18,False,FIR
Sarajevo FIR,99358,83997610000.0,1.987616e+18,1.7175979087468093e+18,7037237000.0,19509280000.0,18612056000000.0,1558646.1550093724,1.2640452e+18,-2.200427e+18,3.4685372e+18,1.1326365678537654e+18,-1.9316982e+18,3.068016e+18,True,FIR
Scottish FIR,99356,144240950000.0,2.4752285e+18,2.3865211463736975e+18,11574913000.0,72613580000.0,81657690000000.0,13025077.178413084,4.3435283e+18,-7.8726264e+18,1.2192157e+19,4.179386060583236e+18,-7.2829083e+18,1.1440922e+19,True,FIR
Seattle FIR,99360,481738360000.0,5.492785e+18,5.216081871092645e+18,36771260000.0,96923484000.0,88859930000000.0,10274025.181177253,3.963794e+18,-1.0778611e+19,1.4773631e+19,3.8062256763628283e+18,-1.0264286e+19,1.4099955e+19,False,FIR
Seychelles FIR,99128,23593468000.0,7.065979e+17,7.014484622418244e+17,1746109800.0,6442169000.0,7804226600000.0,1028165.6529339205,6.500238e+17,-8.2133175e+17,1.4736677e+18,6.453886322015668e+17,-8.20369e+17,1.468051e+18,False,FIR
Shanghai FIR,99360,1565522000000.0,2.4453774e+18,2.303151038774234e+18,15541959000.0,60425957000.0,65137050000000.0,5795348.752707513,3.106548e+18,-5.876383e+18,8.98197e+18,2.88412273406491e+18,-5.623812e+18,8.508826e+18,False,FIR
Shannon FIR,99356,170862900000.0,4.284517e+18,4.0142441478120453e+18,19174627000.0,60942467000.0,62539824000000.0,7210986.827953775,3.4801668e+18,-7.2230223e+18,1.0710245e+19,3.3103038581552456e+18,-6.6610267e+18,9.978784e+18,True,FIR
Shanwick FIR,99360,629179150000.0,2.683272e+19,2.5677010794737455e+19,83259654000.0,322263100000.0,354913350000000.0,48242335.54720966,2.4359007e+19,-3.459325e+19,5.897717e+19,2.3356272417269694e+19,-3.2510558e+19,5.5894144e+19,True,FIR
Shenyang FIR,99360,284160100000.0,2.1422858e+18,2.0525777680964634e+18,12929335000.0,48759968000.0,57344667000000.0,6756477.153398695,2.1030609e+18,-5.8131905e+18,7.922141e+18,2.0142189743238164e+18,-5.576237e+18,7.596349e+18,False,FIR
Shymkent FIR,99360,60494496000.0,1.9995284e+18,1.9831245011888957e+18,6164201000.0,24648421000.0,22064044000000.0,4125718.4484254313,1.7088397e+18,-2.3589002e+18,4.0695564e+18,1.6991981386587594e+18,-2.2880208e+18,3.9891084e+18,False,FIR
Simferopol FIR,99307,25142798000.0,5.6889113e+17,5.593828542570894e+17,1773076400.0,30134073000.0,30436869000000.0,6026911.512300318,2.6315274e+18,-3.383754e+18,5.9932053e+18,2.5395707068841344e+18,-3.0591643e+18,5.578706e+18,True,FIR
Singapore FIR,99360,305317580000.0,4.815851e+18,4.679774343432964e+18,17313884000.0,61193260000.0,68380116000000.0,8059863.113934219,4.2781115e+18,-7.296812e+18,1.1595584e+19,4.158841455918521e+18,-7.218113e+18,1.1397238e+19,False,FIR
Skopje FIR,99357,30931931000.0,5.2767422e+17,4.6545876410262176e+17,1737842700.0,4803128300.0,4694789000000.0,435582.6911707956,3.9433758e+17,-4.7940143e+17,8.765433e+17,3.665249576472319e+17,-4.3676323e+17,8.058474e+17,True,FIR
Sofia FIR,99360,229326030000.0,5.6297095e+18,5.181066860130148e+18,16404422000.0,51368120000.0,50466750000000.0,4567348.429047953,3.911511e+18,-6.022769e+18,9.948597e+18,3.541776048933878e+18,-5.251126e+18,8.807408e+18,True,FIR
Southeast Asia,99360,3919123300000.0,4.2070983e+19,4.111339037477476e+19,142968700000.0,563663300000.0,626572240000000.0,84017573.54895242,4.1430706e+19,-5.454271e+19,9.608449e+19,4.048538332755448e+19,-5.4026584e+19,9.4622405e+19,,RECT
Sweden FIR,99359,281155570000.0,7.7457615e+18,7.298972012217276e+18,22191956000.0,87073840000.0,86212920000000.0,15987386.984255012,7.0681423e+18,-6.4343954e+18,1.3513002e+19,6.586526969277707e+18,-5.963372e+18,1.2561895e+19,True,FIR
Switzerland FIR,99357,142823800000.0,2.1642144e+18,1.8449561591507387e+18,10692397000.0,31389643000.0,30531192000000.0,2283930.341918497,1.9786092e+18,-3.0760308e+18,5.060882e+18,1.705316637902178e+18,-2.537626e+18,4.2483813e+18,True,FIR
Syktyvkar FIR,99360,64415027000.0,4.8004276e+18,4.699217628460368e+18,8538338000.0,47589220000.0,46449824000000.0,12114243.82155472,4.8888443e+18,-2.0433526e+18,6.9357485e+18,4.75099079833084e+18,-1.9110155e+18,6.66601e+18,False,FIR
Tahiti Oceanic FIR,98587,16643767000.0,9.139229e+16,9.111313308160672e+16,372461000.0,1143855700.0,954374360000.0,202571.35958473544,1.1032676e+17,-8.325495e+16,1.937034e+17,1.09965800938524e+17,-8.312334e+16,1.9320469e+17,False,FIR
Taipei FIR,99360,413646980000.0,1.175109e+18,1.1377977137259113e+18,5681400000.0,18494069000.0,15847472000000.0,1871425.9089668815,9.908641e+17,-1.3964049e+18,2.392295e+18,9.601444574465592e+17,-1.3767659e+18,2.341846e+18,False,FIR
Tallinn FIR,99359,53999698000.0,2.1809459e+18,2.0857665318140413e+18,5188187000.0,19819550000.0,20252168000000.0,3604177.632948553,1.8237423e+18,-1.3555398e+18,3.184866e+18,1.7042875088864573e+18,-1.246336e+18,2.956296e+18,True,FIR
Tashkent FIR,99359,34668704000.0,7.753361e+17,7.694885981156863e+17,2735029800.0,10832940000.0,9650775000000.0,1938202.4362235256,7.430166e+17,-1.0210806e+18,1.7634503e+18,7.395384791910346e+17,-9.9576996e+17,1.7346805e+18,False,FIR
Tehran FIR,99360,484655170000.0,1.35008e+18,1.3394052798364037e+18,10421882000.0,34360880000.0,31430090000000.0,3575527.461401413,1.9650253e+18,-2.766933e+18,4.732879e+18,1.930544725029139e+18,-2.6891498e+18,4.6209824e+18,False,FIR
Tel-Aviv FIR,99357,23252380000.0,3652826000000000.0,3625505544619479.5,21414316.0,253528750.0,240567270000.0,38672.00092653162,2.361534e+16,-2.7113705e+16,5.0623706e+16,2.309641167162206e+16,-2.6669447e+16,4.966626e+16,False,FIR
Tibilisi FIR,99360,29767813000.0,5.5092095e+17,5.451234625700157e+17,1768574100.0,10743010000.0,11840096000000.0,1698558.2789459631,1.0439105e+18,-1.1248576e+18,2.1680532e+18,1.004754477962682e+18,-1.025281e+18,2.029927e+18,True,FIR
Tirana FIR,99353,36668097000.0,4.7057765e+17,4.2888706820863277e+17,1842964900.0,5230054400.0,4711869000000.0,495391.0400511112,3.4485677e+17,-5.308861e+17,8.780466e+17,3.21186585413662e+17,-4.9645816e+17,8.2003914e+17,True,FIR
Toronto FIR,99360,298401960000.0,3.2588425e+18,3.0532539744405484e+18,16578115000.0,72171010000.0,83849720000000.0,8965646.201305069,4.1646032e+18,-6.1274447e+18,1.0296501e+19,3.82463128778406e+18,-5.7271235e+18,9.558289e+18,False,FIR
Tripoli FIR,99309,28086639000.0,1.0028706e+17,9.952812056561133e+16,463793380.0,2186295800.0,1837094400000.0,361569.3886415035,2.0119905e+17,-1.54652e+17,3.539789e+17,2.0002338123919472e+17,-1.5338385e+17,3.5155032e+17,False,FIR
Tunis FIR,99360,37636055000.0,1.3023348e+17,1.2858445415446587e+17,1008612300.0,2697375200.0,2077059200000.0,318607.46826197184,1.8346034e+17,-2.3687964e+17,4.1958044e+17,1.806500935419419e+17,-2.3159374e+17,4.1161176e+17,False,FIR
Turkmenabat FIR,98787,13765245000.0,1.42465955e+17,1.4120698642508544e+17,575960960.0,2325821700.0,2008409300000.0,346262.2097815566,1.645292e+17,-1.8520036e+17,3.499985e+17,1.6374122805890717e+17,-1.8183844e+17,3.458239e+17,False,FIR
Turkmenbashi FIR,99157,21415060000.0,3.2591974e+17,3.247777785853704e+17,1041991800.0,4938332700.0,4068579200000.0,877223.3940815664,3.038616e+17,-5.0118753e+17,8.0494174e+17,3.085978060300493e+17,-4.7994174e+17,7.883348e+17,False,FIR
Tyumen FIR,99359,146809750000.0,1.0269916e+19,1.014538822533467e+19,21286873000.0,126445625000.0,118048490000000.0,30106089.717960812,1.1166889e+19,-7.692251e+18,1.886268e+19,1.1024592493373796e+19,-7.150662e+18,1.8179221e+19,False,FIR
U-Jung Pandang FIR,99360,436611550000.0,6.059598e+18,5.977461819262745e+18,20708470000.0,77271966000.0,86673640000000.0,11984262.550407995,5.6421016e+18,-6.8409464e+18,1.2502679e+19,5.568518496442342e+18,-6.8066493e+18,1.2394558e+19,False,FIR
USA,99360,16008068000000.0,1.5519779e+20,1.4005087642417272e+20,847775900000.0,2515840000000.0,2431231700000000.0,236152484.39885807,1.4802808e+20,-2.2565659e+20,3.741767e+20,1.333643878919966e+20,-2.115163e+20,3.4537346e+20,,RECT
Ulaanbaatar FIR,99360,167382560000.0,2.4033493e+18,2.442608794566889e+18,20416950000.0,65064505000.0,59084636000000.0,10267263.462373227,2.833642e+18,-7.935331e+18,1.0763818e+19,2.881677968852003e+18,-7.6831503e+18,1.0559819e+19,False,FIR
Urumqi FIR,99360,107663565000.0,2.3403286e+18,2.333386135230519e+18,11681236000.0,35293843000.0,32699289000000.0,5238967.905102298,2.2611447e+18,-3.2805672e+18,5.5453825e+18,2.2508672675709553e+18,-3.2106108e+18,5.465199e+18,False,FIR
Vancouver FIR,99360,159219380000.0,2.9711484e+18,2.920090985324459e+18,17274935000.0,58806526000.0,58052904000000.0,8536485.844045844,3.0796158e+18,-5.633045e+18,8.7144416e+18,3.0318481783155937e+18,-5.519126e+18,8.552771e+18,False,FIR
Vientiane FIR,99360,109533520000.0,5.969459e+17,5.783014236687314e+17,1840809000.0,7682734000.0,8515429000000.0,1063042.5772528774,6.077088e+17,-5.48318e+17,1.1578917e+18,5.882181557289665e+17,-5.4074697e+17,1.1308231e+18,False,FIR
Vilnius FIR,99359,47341404000.0,2.162062e+18,2.0130656190834086e+18,4872357000.0,25674738000.0,26804593000000.0,4376691.648540227,2.78716e+18,-1.7801478e+18,4.5693848e+18,2.548195871393779e+18,-1.606042e+18,4.1565102e+18,True,FIR
Vologda FIR,99353,58232020000.0,5.509058e+18,5.274251294849398e+18,8360678000.0,43653304000.0,42362865000000.0,9275030.729247881,4.650607e+18,-1.7452461e+18,6.405441e+18,4.4148347188275584e+18,-1.5908641e+18,6.0155496e+18,False,FIR
